T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
51,Armenia,2023,Percentage of individuals using the internet,80.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
533,Aruba,2005,Percentage of individuals using the internet,25.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
533,Aruba,2010,Percentage of individuals using the internet,62.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
533,Aruba,2015,Percentage of individuals using the internet,88.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
36,Australia,2005,Percentage of individuals using the internet,63.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
36,Australia,2010,Percentage of individuals using the internet,76.0,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
36,Australia,2015,Percentage of individuals using the internet,84.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
36,Australia,2020,Percentage of individuals using the internet,94.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
36,Australia,2021,Percentage of individuals using the internet,97.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
36,Australia,2022,Percentage of individuals using the internet,97.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
36,Australia,2023,Percentage of individuals using the internet,97.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
40,Austria,2005,Percentage of individuals using the internet,58.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
40,Austria,2010,Percentage of individuals using the internet,75.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
40,Austria,2015,Percentage of individuals using the internet,83.9,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
40,Austria,2020,Percentage of individuals using the internet,87.5,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
40,Austria,2021,Percentage of individuals using the internet,92.5,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
40,Austria,2022,Percentage of individuals using the internet,93.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
40,Austria,2023,Percentage of individuals using the internet,95.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
31,Azerbaijan,2005,Percentage of individuals using the internet,8.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
31,Azerbaijan,2010,Percentage of individuals using the internet,46.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
31,Azerbaijan,2015,Percentage of individuals using the internet,77.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
31,Azerbaijan,2020,Percentage of individuals using the internet,84.6,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
31,Azerbaijan,2021,Percentage of individuals using the internet,86.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
31,Azerbaijan,2022,Percentage of individuals using the internet,88.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
31,Azerbaijan,2023,Percentage of individuals using the internet,89.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
44,Bahamas (The),2005,Percentage of individuals using the internet,25.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
44,Bahamas (The),2010,Percentage of individuals using the internet,43.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
44,Bahamas (The),2015,Percentage of individuals using the internet,78.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
44,Bahamas (The),2020,Percentage of individuals using the internet,92.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
44,Bahamas (The),2021,Percentage of individuals using the internet,94.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
44,Bahamas (The),2022,Percentage of individuals using the internet,94.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
44,Bahamas (The),2023,Percentage of individuals using the internet,94.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
48,Bahrain,2005,Percentage of individuals using the internet,21.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
48,Bahrain,2010,Percentage of individuals using the internet,55.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
48,Bahrain,2015,Percentage of individuals using the internet,93.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
48,Bahrain,2020,Percentage of individuals using the internet,99.7,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
48,Bahrain,2021,Percentage of individuals using the internet,100.0,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
48,Bahrain,2022,Percentage of individuals using the internet,100.0,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
48,Bahrain,2023,Percentage of individuals using the internet,100.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
50,Bangladesh,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
50,Bangladesh,2010,Percentage of individuals using the internet,3.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
50,Bangladesh,2015,Percentage of individuals using the internet,12.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
50,Bangladesh,2020,Percentage of individuals using the internet,36.1,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
50,Bangladesh,2021,Percentage of individuals using the internet,38.9,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
50,Bangladesh,2022,Percentage of individuals using the internet,41.6,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
50,Bangladesh,2023,Percentage of individuals using the internet,44.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
52,Barbados,2005,Percentage of individuals using the internet,52.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
52,Barbados,2010,Percentage of individuals using the internet,65.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
52,Barbados,2015,Percentage of individuals using the internet,72.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
52,Barbados,2020,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
52,Barbados,2021,Percentage of individuals using the internet,77.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
52,Barbados,2022,Percentage of individuals using the internet,79.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
52,Barbados,2023,Percentage of individuals using the internet,80.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
112,Belarus,2010,Percentage of individuals using the internet,31.8,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
