UF,Tipo Crime,Ano,Mês,Ocorrências
AMAZONAS,ESTUPRO,2022,NOVEMBRO,53
AMAZONAS,FURTO DE VEÍCULO,2022,NOVEMBRO,148
AMAZONAS,HOMICÍDIO DOLOSO,2022,NOVEMBRO,106
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,5
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,NOVEMBRO,0
AMAZONAS,ROUBO DE CARGA,2022,NOVEMBRO,0
AMAZONAS,ROUBO DE VEÍCULO,2022,NOVEMBRO,109
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,NOVEMBRO,5
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,NOVEMBRO,17
AMAZONAS,ESTUPRO,2022,DEZEMBRO,83
AMAZONAS,FURTO DE VEÍCULO,2022,DEZEMBRO,158
AMAZONAS,HOMICÍDIO DOLOSO,2022,DEZEMBRO,108
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,2
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,DEZEMBRO,0
AMAZONAS,ROUBO DE CARGA,2022,DEZEMBRO,2
AMAZONAS,ROUBO DE VEÍCULO,2022,DEZEMBRO,118
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,DEZEMBRO,5
