UF,Tipo Crime,Ano,Mês,Sexo da Vítima,Vítimas
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JUNHO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JUNHO,MASCULINO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JUNHO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,MASCULINO,2
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,MASCULINO,1
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,SETEMBRO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,SETEMBRO,MASCULINO,4
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,SETEMBRO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,OUTUBRO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,OUTUBRO,MASCULINO,5
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,OUTUBRO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,MASCULINO,5
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,MASCULINO,2
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,FEMININO,1
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,MASCULINO,4
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,FEMININO,1
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,MASCULINO,4
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,FEMININO,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,MASCULINO,5
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,ABRIL,FEMININO,1
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,ABRIL,MASCULINO,3
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,FEMININO,1
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,MASCULINO,6
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,FEMININO,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,MASCULINO,4
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,FEMININO,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,MASCULINO,6
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,FEMININO,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,MASCULINO,3
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,FEMININO,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,MASCULINO,2
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,OUTUBRO,FEMININO,1
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,OUTUBRO,MASCULINO,4
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,OUTUBRO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,NOVEMBRO,FEMININO,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,NOVEMBRO,MASCULINO,5
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,NOVEMBRO,SEXO NI,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,DEZEMBRO,FEMININO,0
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,DEZEMBRO,MASCULINO,5
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,DEZEMBRO,SEXO NI,0
BAHIA,HOMICÍDIO DOLOSO,2022,JANEIRO,FEMININO,39
